stylecode,Ambermark,试穿者姓名,身高（厘米）,体重（公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型,CharmMark,试穿者姓名,身高（厘米）,体重（公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型,FabulousMark,试穿者姓名,身高（厘米）,体重（公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型,GlamourMark,试穿者姓名,身高（厘米）,体重（公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型
11122979,11122979Amber,Amber,157,46,76,XS,合身,薄款,适中,11122979Charm,Charm,163,53,80,S,合身,薄款,适中,11122979Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11122979Glamour,Glamour,165,72,100,L,合身,薄款,适中
11124432,11124432Amber,Amber,157,46,76,XS,合身,薄款,适中,11124432Charm,Charm,163,53,80,S,合身,薄款,适中,11124432Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11124432Glamour,Glamour,165,72,100,L,合身,薄款,适中
11124433,11124433Amber,Amber,157,46,76,XS,合身,,,11124433Charm,Charm,163,53,80,S,合身,,,11124433Fabulous,Fabulous,169,63,91,M,合身,,,11124433Glamour,Glamour,165,72,100,L,合身,,
11126903,11126903Amber,Amber,157,46,76,XS,过于宽松,薄款,宽松,11126903Charm,Charm,163,53,80,XS,合身,薄款,宽松,11126903Fabulous,Fabulous,169,63,91,S,合身,薄款,宽松,11126903Glamour,Glamour,165,72,100,M,合身,薄款,宽松
11126904,11126904Amber,Amber,157,46,76,XS,过于宽松,薄款,宽松,11126904Charm,Charm,163,53,80,XS,宽松,薄款,宽松,11126904Fabulous,Fabulous,169,63,91,XS,合身,薄款,宽松,11126904Glamour,Glamour,165,72,100,S,合身,薄款,宽松
11126948,11126948Amber,Amber,157,46,76,XS,合身,薄款,适中,11126948Charm,Charm,163,53,80,S,合身,薄款,适中,11126948Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11126948Glamour,Glamour,165,72,100,L,合身,薄款,适中
11126954,11126954Amber,Amber,157,46,76,XS,合身,适中,适中,11126954Charm,Charm,163,53,80,S,合身,适中,适中,11126954Fabulous,Fabulous,169,63,91,M,合身,适中,适中,11126954Glamour,Glamour,165,72,100,L,合身,适中,适中
11127132,11127132Amber,Amber,157,46,76,XS,偏长,,,11127132Charm,Charm,163,53,80,S,偏长,,,11127132Fabulous,Fabulous,169,63,91,M,合身,,,11127132Glamour,Glamour,165,72,100,L,合身,,
11127176,11127176Amber,Amber,157,46,76,XS,合身,适中,适中,11127176Charm,Charm,163,53,80,S,合身,适中,适中,11127176Fabulous,Fabulous,169,63,91,M,合身,适中,适中,11127176Glamour,Glamour,165,72,100,L,合身,适中,适中
11127177,11127177Amber,Amber,157,46,76,XS,合身,薄款,适中,11127177Charm,Charm,163,53,80,S,合身,薄款,适中,11127177Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11127177Glamour,Glamour,165,72,100,L,合身,薄款,适中
11127184,11127184Amber,Amber,157,46,76,XS,合身,,适中,11127184Charm,Charm,163,53,80,S,合身,,,11127184Fabulous,Fabulous,169,63,91,M,合身,,,11127184Glamour,Glamour,165,72,100,L,合身,,
11127198,11127198Amber,Amber,157,46,76,XS,偏长,,,11127198Charm,Charm,163,53,80,S,偏长,,,11127198Fabulous,Fabulous,169,63,91,M,合身,,,11127198Glamour,Glamour,165,72,100,L,合身,,
11127199,11127199Amber,Amber,157,46,76,XS,偏长,,,11127199Charm,Charm,163,53,80,S,偏长,,,11127199Fabulous,Fabulous,169,63,91,M,合身,,,11127199Glamour,Glamour,165,72,100,L,合身,,
11128238,11128238Amber,Amber,157,46,76,XS,合身,薄款,适中,11128238Charm,Charm,163,53,80,S,合身,薄款,适中,11128238Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11128238Glamour,Glamour,165,72,100,L,合身,薄款,适中
11128240,11128240Amber,Amber,157,46,76,XS,合身,薄款,适中,11128240Charm,Charm,163,53,80,S,合身,薄款,适中,11128240Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11128240Glamour,Glamour,165,72,100,L,合身,薄款,适中
11128624,11128624Amber,Amber,157,46,76,XS,合身,适中,适中,11128624Charm,Charm,163,53,80,S,合身,适中,适中,11128624Fabulous,Fabulous,169,63,91,M,合身,适中,适中,11128624Glamour,Glamour,165,72,100,L,合身,适中,适中
11128683,11128683Amber,Amber,157,46,76,XS,合身,薄款,适中,11128683Charm,Charm,163,53,80,S,合身,薄款,适中,11128683Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11128683Glamour,Glamour,165,72,100,L,合身,薄款,适中
11128714,11128714Amber,Amber,157,46,76,XS,合身,,,11128714Charm,Charm,163,53,80,S,合身,,,11128714Fabulous,Fabulous,169,63,91,M,合身,,,11128714Glamour,Glamour,165,72,100,L,合身,,
11128715,11128715Amber,Amber,157,46,76,XS,偏长,,,11128715Charm,Charm,163,53,80,S,偏长,,,11128715Fabulous,Fabulous,169,63,91,M,合身,,,11128715Glamour,Glamour,165,72,100,L,合身,,
11128717,11128717Amber,Amber,157,46,76,XS,偏长,,,11128717Charm,Charm,163,53,80,S,偏长,,,11128717Fabulous,Fabulous,169,63,91,M,合身,,,11128717Glamour,Glamour,165,72,100,L,合身,,
11128718,11128718Amber,Amber,157,46,76,XS,偏长,,,11128718Charm,Charm,163,53,80,S,偏长,,,11128718Fabulous,Fabulous,169,63,91,M,合身,,,11128718Glamour,Glamour,165,72,100,L,合身,,
11128729,11128729Amber,Amber,157,46,76,XS,合身,适中,修身,11128729Charm,Charm,163,53,80,S,合身,适中,修身,11128729Fabulous,Fabulous,169,63,91,M,合身,适中,修身,11128729Glamour,Glamour,165,72,100,L,合身,适中,修身
11128731,11128731Amber,Amber,157,46,76,XS,合身,适中,宽松,11128731Charm,Charm,163,53,80,S,合身,适中,宽松,11128731Fabulous,Fabulous,169,63,91,M,合身,适中,宽松,11128731Glamour,Glamour,165,72,100,L,合身,适中,宽松
11128732,11128732Amber,Amber,157,46,76,XS,合身,,,11128732Charm,Charm,163,53,80,S,合身,,,11128732Fabulous,Fabulous,169,63,91,M,合身,,,11128732Glamour,Glamour,165,72,100,L,合身,,
11128733,11128733Amber,Amber,157,46,76,XS,合身,,,11128733Charm,Charm,163,53,80,S,合身,,,11128733Fabulous,Fabulous,169,63,91,M,合身,,,11128733Glamour,Glamour,165,72,100,L,合身,,
11129043,11129043Amber,Amber,157,46,76,XS,合身,薄款,适中,11129043Charm,Charm,163,53,80,S,合身,薄款,适中,11129043Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11129043Glamour,Glamour,165,72,100,L,合身,薄款,适中
11129065,11129065Amber,Amber,157,46,76,XS,偏长,,,11129065Charm,Charm,163,53,80,S,偏长,,,11129065Fabulous,Fabulous,169,63,91,M,合身,,,11129065Glamour,Glamour,165,72,100,L,合身,,
